action,reaction_time,correct,connected
crmk,-1,0
crmk,22,1,1
crmk,25,1,1
crmk,21,1,crmk,22,1,1
crmk,28,1,1
crmk,-1,0
crmk,16,1,1
crmk,21,0
crmk,21,0
